player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,team
Mohamed Salah,eg EGY,FW,32,38,38,"3,371",37.5,29,18,47,20,9,9,1,0,Liverpool
Virgil van Dijk,nl NED,DF,33,37,37,"3,330",37.0,3,1,4,3,0,0,5,0,Liverpool
Ryan Gravenberch,nl NED,MF,22,37,37,"3,160",35.1,0,4,4,0,0,0,6,1,Liverpool
Alexis Mac Allister,ar ARG,MF,25,35,30,"2,599",28.9,5,5,10,5,0,0,6,0,Liverpool
Ibrahima Konaté,fr FRA,DF,25,31,30,"2,560",28.4,1,2,3,1,0,0,5,0,Liverpool
Dominik Szoboszlai,hu HUN,MF,23,36,29,"2,491",27.7,6,6,12,6,0,0,6,0,Liverpool
Andrew Robertson,sct SCO,DF,30,33,29,"2,482",27.6,0,1,1,0,0,0,3,1,Liverpool
Alisson,br BRA,GK,31,28,28,"2,508",27.9,0,0,0,0,0,0,0,0,Liverpool
Luis Díaz,co COL,FW,27,36,28,"2,399",26.7,13,5,18,13,0,0,2,0,Liverpool
Trent Alexander-Arnold,eng ENG,DF,25,33,28,"2,365",26.3,3,6,9,3,0,0,5,0,Liverpool
Cody Gakpo,nl NED,FW,25,35,23,"1,935",21.5,10,4,14,10,0,0,5,0,Liverpool
Curtis Jones,eng ENG,"MF,DF",23,33,19,"1,712",19.0,3,3,6,3,0,0,3,1,Liverpool
Diogo Jota,pt POR,FW,27,26,14,"1,196",13.3,6,3,9,6,0,0,2,0,Liverpool
Caoimhín Kelleher,ie IRL,GK,25,10,10,900,10.0,0,0,0,0,0,0,0,0,Liverpool
Kostas Tsimikas,gr GRE,DF,28,18,9,837,9.3,0,1,1,0,0,0,2,0,Liverpool
Darwin Núñez,uy URU,FW,25,30,8,"1,133",12.6,5,2,7,5,0,0,8,0,Liverpool
Conor Bradley,nir NIR,DF,21,19,7,754,8.4,0,2,2,0,0,0,4,0,Liverpool
Joe Gomez,eng ENG,DF,27,9,6,519,5.8,0,0,0,0,0,0,1,0,Liverpool
Jarell Quansah,eng ENG,DF,21,13,4,495,5.5,0,0,0,0,0,0,2,0,Liverpool
Harvey Elliott,eng ENG,MF,21,18,2,371,4.1,1,2,3,1,0,0,1,0,Liverpool
Wataru Endo,jp JPN,"MF,DF",31,20,1,273,3.0,0,0,0,0,0,0,0,0,Liverpool
Federico Chiesa,it ITA,FW,26,6,1,108,1.2,0,0,0,0,0,0,0,0,Liverpool
Vitezslav Jaros,cz CZE,GK,23,1,0,12,0.1,0,0,0,0,0,0,0,0,Liverpool
Jayden Danns,eng ENG,MF,18,1,0,11,0.1,0,0,0,0,0,0,0,0,Liverpool
Harvey Davies,eng ENG,GK,20,0,0,,,,,,,,,,,Liverpool
James McConnell,eng ENG,MF,19,0,0,,,,,,,,,,,Liverpool
Tyler Morton,eng ENG,MF,21,0,0,,,,,,,,,,,Liverpool
Amara Nallo,eng ENG,DF,17,0,0,,,,,,,,,,,Liverpool
Trey Nyoni,eng ENG,MF,17,0,0,,,,,,,,,,,Liverpool
David Raya,es ESP,GK,28,38,38,"3,420",38.0,0,0,0,0,0,0,3,0,Arsenal
William Saliba,fr FRA,DF,23,35,35,"3,039",33.8,2,0,2,2,0,0,2,1,Arsenal
Declan Rice,eng ENG,MF,25,35,33,"2,825",31.4,4,7,11,4,0,0,7,1,Arsenal
Thomas Partey,gh GHA,"MF,DF",31,35,31,"2,797",31.1,4,2,6,4,0,0,4,0,Arsenal
Leandro Trossard,be BEL,FW,29,38,28,"2,546",28.3,8,7,15,8,0,0,4,1,Arsenal
Gabriel Magalhães,br BRA,DF,26,28,28,"2,363",26.3,3,1,4,3,0,0,4,0,Arsenal
Jurriën Timber,nl NED,DF,23,30,27,"2,417",26.9,1,3,4,1,0,0,7,0,Arsenal
Martin Ødegaard,no NOR,MF,25,30,26,"2,325",25.8,3,8,11,2,1,1,4,0,Arsenal
Gabriel Martinelli,br BRA,"FW,MF",23,33,25,"2,290",25.4,8,4,12,8,0,0,1,0,Arsenal
Kai Havertz,de GER,"FW,MF",25,23,21,"1,875",20.8,9,3,12,9,0,0,5,0,Arsenal
Bukayo Saka,eng ENG,"FW,MF",22,25,20,"1,729",19.2,6,10,16,5,1,1,3,0,Arsenal
Mikel Merino,es ESP,"MF,FW",28,28,17,"1,586",17.6,7,2,9,7,0,0,4,1,Arsenal
Myles Lewis-Skelly,eng ENG,DF,17,23,15,"1,369",15.2,1,0,1,1,0,0,3,2,Arsenal
Ben White,eng ENG,DF,26,17,13,"1,198",13.3,0,2,2,0,0,0,2,0,Arsenal
Riccardo Calafiori,it ITA,DF,22,19,11,983,10.9,2,1,3,2,0,0,4,0,Arsenal
Ethan Nwaneri,eng ENG,"FW,MF",17,26,11,895,9.9,4,2,6,4,0,0,1,0,Arsenal
Jakub Kiwior,pl POL,DF,24,17,10,"1,122",12.5,1,0,1,1,0,0,1,0,Arsenal
Jorginho,it ITA,MF,32,15,9,704,7.8,0,0,0,0,0,0,5,0,Arsenal
Raheem Sterling,eng ENG,"FW,MF",29,17,7,499,5.5,0,2,2,0,0,0,1,0,Arsenal
Gabriel Jesus,br BRA,FW,27,17,6,608,6.8,3,0,3,3,0,0,4,0,Arsenal
Oleksandr Zinchenko,ua UKR,"DF,MF",27,15,5,527,5.9,0,1,1,0,0,0,1,0,Arsenal
Kieran Tierney,sct SCO,"DF,FW",27,13,2,259,2.9,1,0,1,1,0,0,0,0,Arsenal
Nathan Butler-Oyedeji,eng ENG,FW,21,1,0,7,0.1,0,0,0,0,0,0,0,0,Arsenal
Takehiro Tomiyasu,jp JPN,DF,25,1,0,7,0.1,0,0,0,0,0,0,0,0,Arsenal
Reiss Nelson,eng ENG,FW,24,1,0,3,0.0,0,0,0,0,0,0,0,0,Arsenal
Brayden Clarke,wls WAL,DF,17,0,0,,,,,,,,,,,Arsenal
Jimi Gower,eng ENG,MF,19,0,0,,,,,,,,,,,Arsenal
Ayden Heaven,eng ENG,DF,17,0,0,,,,,,,,,,,Arsenal
Jack Henry-Francis,ie IRL,MF,20,0,0,,,,,,,,,,,Arsenal
Ismeal Kabia,eng ENG,MF,18,0,0,,,,,,,,,,,Arsenal
Maldini Kacurri,al ALB,DF,18,0,0,,,,,,,,,,,Arsenal
Neto,br BRA,GK,35,0,0,,,,,,,,,,,Arsenal
Josh Nichols,eng ENG,DF,18,0,0,,,,,,,,,,,Arsenal
Eddie Nketiah,eng ENG,FW,25,0,0,,,,,,,,,,,Arsenal
Salah Oulad M'Hand,nl NED,MF,20,0,0,,,,,,,,,,,Arsenal
Jack Porter,eng ENG,GK,16,0,0,,,,,,,,,,,Arsenal
Aaron Ramsdale,eng ENG,GK,26,0,0,,,,,,,,,,,Arsenal
Tommy Setford,eng ENG,GK,18,0,0,,,,,,,,,,,Arsenal
