player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,team
Mohamed Salah,eg EGY,FW,32.0,38,38,"3,371",37.5,29.0,18.0,47.0,20.0,9.0,9.0,1.0,0.0,Liverpool
Virgil van Dijk,nl NED,DF,33.0,37,37,"3,330",37.0,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,Liverpool
Ryan Gravenberch,nl NED,MF,22.0,37,37,"3,160",35.1,0.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,Liverpool
Alexis Mac Allister,ar ARG,MF,25.0,35,30,"2,599",28.9,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,Liverpool
Ibrahima Konaté,fr FRA,DF,25.0,31,30,"2,560",28.4,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,Liverpool
Dominik Szoboszlai,hu HUN,MF,23.0,36,29,"2,491",27.7,6.0,6.0,12.0,6.0,0.0,0.0,6.0,0.0,Liverpool
Andrew Robertson,sct SCO,DF,30.0,33,29,"2,482",27.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,Liverpool
Alisson,br BRA,GK,31.0,28,28,"2,508",27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Luis Díaz,co COL,FW,27.0,36,28,"2,399",26.7,13.0,5.0,18.0,13.0,0.0,0.0,2.0,0.0,Liverpool
Trent Alexander-Arnold,eng ENG,DF,25.0,33,28,"2,365",26.3,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,Liverpool
Cody Gakpo,nl NED,FW,25.0,35,23,"1,935",21.5,10.0,4.0,14.0,10.0,0.0,0.0,5.0,0.0,Liverpool
Curtis Jones,eng ENG,"MF,DF",23.0,33,19,"1,712",19.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,Liverpool
Diogo Jota,pt POR,FW,27.0,26,14,"1,196",13.3,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,Liverpool
Caoimhín Kelleher,ie IRL,GK,25.0,10,10,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Kostas Tsimikas,gr GRE,DF,28.0,18,9,837,9.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Liverpool
Darwin Núñez,uy URU,FW,25.0,30,8,"1,133",12.6,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,Liverpool
Conor Bradley,nir NIR,DF,21.0,19,7,754,8.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,Liverpool
Joe Gomez,eng ENG,DF,27.0,9,6,519,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Liverpool
Jarell Quansah,eng ENG,DF,21.0,13,4,495,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Liverpool
Harvey Elliott,eng ENG,MF,21.0,18,2,371,4.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,Liverpool
Wataru Endo,jp JPN,"MF,DF",31.0,20,1,273,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Federico Chiesa,it ITA,FW,26.0,6,1,108,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Vitezslav Jaros,cz CZE,GK,23.0,1,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Jayden Danns,eng ENG,MF,18.0,1,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Harvey Davies,eng ENG,GK,20.0,0,0,,,,,,,,,,,Liverpool
James McConnell,eng ENG,MF,19.0,0,0,,,,,,,,,,,Liverpool
Tyler Morton,eng ENG,MF,21.0,0,0,,,,,,,,,,,Liverpool
Amara Nallo,eng ENG,DF,17.0,0,0,,,,,,,,,,,Liverpool
Trey Nyoni,eng ENG,MF,17.0,0,0,,,,,,,,,,,Liverpool
David Raya,es ESP,GK,28.0,38,38,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Arsenal
William Saliba,fr FRA,DF,23.0,35,35,"3,039",33.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,Arsenal
Declan Rice,eng ENG,MF,25.0,35,33,"2,825",31.4,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0,Arsenal
Thomas Partey,gh GHA,"MF,DF",31.0,35,31,"2,797",31.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,Arsenal
Leandro Trossard,be BEL,FW,29.0,38,28,"2,546",28.3,8.0,7.0,15.0,8.0,0.0,0.0,4.0,1.0,Arsenal
Gabriel Magalhães,br BRA,DF,26.0,28,28,"2,363",26.3,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,Arsenal
Jurriën Timber,nl NED,DF,23.0,30,27,"2,417",26.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,Arsenal
Martin Ødegaard,no NOR,MF,25.0,30,26,"2,325",25.8,3.0,8.0,11.0,2.0,1.0,1.0,4.0,0.0,Arsenal
Gabriel Martinelli,br BRA,"FW,MF",23.0,33,25,"2,290",25.4,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,Arsenal
Kai Havertz,de GER,"FW,MF",25.0,23,21,"1,875",20.8,9.0,3.0,12.0,9.0,0.0,0.0,5.0,0.0,Arsenal
Bukayo Saka,eng ENG,"FW,MF",22.0,25,20,"1,729",19.2,6.0,10.0,16.0,5.0,1.0,1.0,3.0,0.0,Arsenal
Mikel Merino,es ESP,"MF,FW",28.0,28,17,"1,586",17.6,7.0,2.0,9.0,7.0,0.0,0.0,4.0,1.0,Arsenal
Myles Lewis-Skelly,eng ENG,DF,17.0,23,15,"1,369",15.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,Arsenal
Ben White,eng ENG,DF,26.0,17,13,"1,198",13.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Arsenal
Riccardo Calafiori,it ITA,DF,22.0,19,11,983,10.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,Arsenal
